,Title,Year,IMDb id
0,Children of the Steps,1984,0147732
1,Wanted: Four Legged Husband,1993,0107542
2,The Immigrant,1991,2831500
3,Burning Land,1984,0133338
4,Ze Lo Seret Studentim,1997,0167507
5,The Auntie from Argentina,1984,0143219
6,The Lullabay of US,,19843912
7,Death Has No Friends,1970,0179756
8,Dod Pompa,2000,1899163
9,Joker,1976,0148360
10,Another Shadow,1976,1874415
11,Kobi V'Mali,1978,0151234
12,Erich the First,1995,0145766
13,Attraction,1988,0143345
14,The Man Who Flew in to Grab,1982,0151079
15,Compromise,1996,0164501
16,Take Two,1972,0069340
17,Gabi Ben Yakar,1982,0133785
18,Tomorrow's Yesterday,1964,0136811
19,Yonatan and Tali,1953,5910264
20,Christmas in the Holy Land,1971,0245052
21,Stress,1998,0214165
22,Murder C.O.D.,1973,0068686
23,The Cowards,1980,0147142
24,Sabina,1966,0138071
25,On My Own,1988,0146670
26,The Last Suspect,2005,2495226
27,Where Eagles Fly,1990,0100922
28,Otzarot HaYam HaAdom,2001,15976766
29,Beautiful Troubles!,1976,0074192
30,Delet Mul Delet,2008,7177344
31,Hol Ba'eynayim,1967,0174745
32,Al Hapanim,1989,0133346
33,The Treasure Across the River,2016,6295364
34,Prisoners of Freedom,1968,0133382
35,Dogs Are Color Blind,1996,0116786
36,Put K Slave,1997,4505300
37,Nini,1962,0151763
38,The Father,1975,0148324
39,Guttman X5,2015,4634652
40,Town Down,2018,15331496
41,La piccola bibbia,1995,0267826
42,A Day Full of Grace,,6333014
43,Too Late,2019,11229516
44,Scoring Mental,2013,2791412
45,Ubiystvo po neostorozhnosti,2013,3142900
46,Winter Games,1988,0151588
47,Zog or Pered,1996,0298614
48,Shabbat Hamalka,1965,0152383
49,Frank Sinatra Died,1998,0205072
50,Shalom Lach Sigal,1996,5677378
51,Drizzle,1994,0179159
52,Love Without Pity Is Cruel,1983,0133370
53,The Glorious Silver Hanukah Menorah,1996,0145795
54,Tell Me That You Love Me,1983,0086422
55,Tubianski,2014,3995806
56,A Thousand and One Wives,1989,0097269
57,In the 9th Month,2002,0311328
58,Bicycle,2001,0373722
59,The Dybbuk,1968,0139168
60,From the Other Side,1970,0161814
61,Not Every Day Is Purim,1994,0238465
62,Kalinka Maya,1997,0177877
63,Sod Kavur,2010,8367810
64,Mishak Hachvaim,2021,15037516
65,They Were Ten,1961,0136991
66,Peach,2003,0373668
67,Pareil pas pareil,1978,0303683
68,What Now?,1998,0162730
69,Shiv'a,1995,0162655
70,Nuzhat al-Fuad,2006,0803883
71,Rachel,1960,5626016
72,"Lady, Open Up, It's Me",1992,0148210
73,The marked ones 2020,2020,14097392
74,Cordonia,1984,0146576
75,Don Quixote and Sa'ad Pancha,1956,0133716
76,Metamorphosis of a Melody,1996,0148471
77,Harpatka'ot Yaldei Hahof,1971,0142353
78,Havurat Rosh Kruv,2010,1910548
79,Dependent,1994,0235336
80,"Yossele, How Did It Happen?",1989,0149394
81,Israel Is Real,2007,8258878
82,To Be a Star,2003,0374001
83,Birds in Neutral,1996,0118005
84,A Five Minute Walk,2001,0482218
85,The Artist Does Not Live by Bread Alone,1996,0165092
86,My little family,2017,16900488
87,Diva Senza Tempo,2017,11730224
88,Wake Up Dreaming,2013,15338222
89,She's Got It,2007,0498793
90,Ha-Muvtal Batito,1987,0143754
91,Tzur Hadassim,1999,0163882
92,Finita La Commedia,2019,9357908
93,Trailer WoW Movie I - The Battle of Hillsbrad,2022,19811474
94,Love in the First Degree,1997,0236454
95,Fantasy on a Romantic Theme,1977,0133757
96,Magical Mystery Tour,1998,0163728
97,Zechut HaShtika,2017,7806062
98,Overture 1812,1997,0265479
99,Kreutzer Sonata,2012,6487300
100,Ha-Khetzi HaSheni,1996,0354683
101,Tni Siman Chayim,2002,5688120
102,In a Place Far from the Earth,1994,0238294
103,Again... the Second Time,1991,0101278
104,Nurit 2,1983,0142711
105,Je T'aime Mon Amour,2010,7325574
106,August Snow,1993,0143876
107,Max and Morris,1994,0126417
108,Melanoma My Love,2006,0856092
109,A Movie with Catherine Deneuve,2015,7328640
110,Crazy Weekend,1986,0121153
111,Harbour of Love,1967,5346986
112,Summer at Erica's,1992,0145025
113,A Night in Tiberias,1965,0151990
114,The Prodigal Son,1968,0139300
115,Hamesh Ma'ot Elef Shahor,1977,0133837
116,Monologue of a Young Woman,1980,1852845
117,Winning with Miki,2004,1215473
118,Foundation of Mind,2011,12784436
119,Uncle David,1970,0143963
120,Grutarally: The Return of 'Kid's Eating Trash',2018,10102826
121,Negativ,2005,6486824
122,The Badchan,,9123406
123,Getting Lost,(I,13644054
124,Pillar of Fire,1959,0133365
125,Man Without a Cell Phone,2010,1728240
126,Ariana,1971,0066782
127,Al Techaki Li,2022,19364090
128,Azit Hakalba Hatzanhanit,1972,0068244
129,2048,2010,1722612
130,Saint Cohen,1975,0072110
131,Avodah B'Eynaim,1988,0133388
132,Driks' Brother,1994,0156491
133,Two Peas in a Pod,,13868890
134,Out of Evil,1950,0151548
135,Enemy Scoop,1999,0285068
136,Timrot Ashan,2019,10498644
137,Ole LaRosh,2022,21158522
138,Tzaadim Noashim,2000,5701946
139,Gibor Ba'Ananim,2018,8814298
140,Stalin's Disciples,1986,0144021
141,Beyond the Walls II,1992,0143647
142,Seven Days in Elul,1999,0205407
143,Weekend Circles,1980,0147020
144,Campaign,1997,0145689
145,Still Walking,2010,1810722
146,Lo L'Shidur,1981,0125844
147,"The Good, the Bad, and the Not So Bad",1986,0094170
148,Life: Round 2,,6892222
149,The Artifact,(II,9515282
150,Donnez-moi dix hommes désespérés,1962,0225543
151,A Boy and a Camel,1968,0139232
152,Jewish Vendetta,1999,0135566
153,Coffee,2010,6037090
154,Nahtche and the General,1972,0063334
155,Bread,1986,0093400
156,Herod Islands,2018,8413700
157,Free Man's Blood or the Sykariki,1970,0406787
158,Outcry,1998,9354814
159,Nerd Club: The Movie,2017,7234936
160,Girls' Paradise Eilat,1964,0137404
161,Expats,2018,9174920
162,"Sie sind frei, Doktor Korczak",1974,0070690
163,Everlasting Joy,1996,0117263
164,"Az Men Git, Nemt Men",1982,0142423
165,In the Line of Fire,2002,0382752
166,Angels in the Wind,1992,0143588
167,Kasach,1984,0151189
168,A Gift from Heaven,1973,0175895
169,Final Exams,1983,0085541
170,The End of Milton Levy,1981,0146281
171,The Dinner,2020,10218878
172,Scratch,2007,2239012
173,The Glow,2001,0293720
174,Ovsunçu,2003,0471291
175,The Winchell Affair,1979,0145957
176,Mabat Koev,1994,8362940
177,Street 60,1976,5524664
178,Motive to Murder,1966,0137807
179,Delayed Reaction,2004,0426260
180,Scouting Patrol,1967,0138077
181,For Making me a Woman,2005,14853008
182,Lean neelam Moshe Ivgy,2012,2504518
183,Last Moments,1990,0099985
184,Shattered Perfection,,14514500
185,Fortuneteller,,9572246
186,What a Gang,1962,0057132
187,Dreams,1969,0133835
188,Once Upon Time,1976,0183603
189,Blaze on the Water,1969,0146973
190,"How, What and Why",2020,15288646
191,Apollo Group Global LLC,2021,16318368
192,Savage the Man,2017,6047312
193,Groupie,1993,0133819
194,Six Million Pieces,2001,2210979
195,Saturday of the Groom,1993,0158185
196,The Marzipan Woman,1997,0143626
197,Golden Key,1954,0148440
198,Ipui Koach,1994,0151074
199,Lemon Popsicle: The Party Goes On,2001,0289730
200,Blank Bullet,2010,1728247
201,The Mevorach Brothers,2000,6748776
202,Mr. Leon,1982,0133339
203,The Megillah 83,1983,0085923
204,Janusz Korczak,2004,0469861
205,For a Change,2018,13136008
206,BaKavod Sheli,2004,8317822
207,The Babysitter,1993,0143739
208,Festival Shirei Yeladim,1980,0133762
209,Itach Lanetzach,1997,0157839
210,Du-Krav,1993,0133724
211,Z'man Emet,1991,0102763
212,All My Loving,1986,0143347
213,Lupo Goes to New York,1976,0151418
214,HaMalchin HaAlmoni,2000,8362832
215,I Had a Wonderful Childhood,2004,6230450
216,Dream No More,1948,0042414
217,The Real Game,1980,0148477
218,Ahavot VeShekarim,2008,8315028
219,Bruriah,2008,5701256
220,Ben,1997,0143131
221,Mivza Hazala,2005,0834567
222,Joseph the Dreamer,1962,0056125
223,"Irit, Irit",1985,0148340
224,Inertia,2015,5028530
225,2 Night,2011,1685486
226,Nymphs in the Mist,2007,4677512
227,The Survivor,2013,3112432
228,For the Sake of the Dog,1979,0148863
229,Morning Star,1980,0151236
230,Angesichts der Wälder,1996,0106282
231,Visions of the Holy Land,1996,0146343
232,Charlie and a Half,1974,0133689
233,Islands on the Shore,2003,0381283
234,The Belly Dancer,2006,0370893
235,A Bit of Luck,1992,0143941
236,Janem Janem,2005,0833474
237,Heart of Stone,2008,7479170
238,Gomrim Holchim,2012,9043228
239,World Group Quarter Finals: Israel vs. Russia (Davis Cup 2009),2009,7370226
240,A Whole Generation Demands a Dream,1997,0165539
241,Haya O Lo Haya,2003,0330375
242,"Ha-Tzel, Shel Hachiuch Shelchah",1998,0162717
243,April Fool,1989,0126279
244,Belfer,1978,0133407
245,Manpower,2014,3247816
246,The Last Love of Laura Adler,1990,0133343
247,Scar,1994,0162716
248,Forever Young,1996,0135695
249,Esh Tzolevet,1989,0133739
250,Minotaur,1997,0119678
251,The Cave,(II,2246156
252,Urban Tale,2012,2734854
253,Amor,2016,4531764
254,Ve'Lakhta Lehe Isha,2004,0426279
255,The Wooden Gun,1979,0144585
256,Fifty Fifty,1971,0133856
257,Green,1983,0133817
258,Agadat Ha'ish Sheshatak,1998,0171468
259,Four Weddings and a Terrorist Attack,,13644038
260,Not a Word to Morgenstein,1963,0133340
261,Korban HaAhava,1992,8318372
262,The Owl,1988,0153976
263,Tania 403,2002,0339763
264,"Ya obeshchala, ya uydu...",1992,0203218
265,A Place by the Sea,1988,0151470
266,Gufa BaCholot,1999,0235241
267,Emtza HaSeret,2003,0333400
268,The Hero's Wife,1963,0133740
269,Arim B'Layla,1998,0154161
270,I Don't Give a Damn,1987,0121490
271,Rutenberg,2003,0238960
272,Broken Mirrors,2018,6723102
273,Hora 79,2013,3002584
274,Tsili,2014,3966798
275,Maktub,2017,7252000
276,Anthrax,2017,8717236
277,Night Soldier,1984,0128562
278,Working Woman,2018,8844204
279,Repeat Dive,1982,0133290
280,Why Hast Thou Forsaken Me,2015,4991396
281,Gentila,1998,0143270
282,Rachamim,2007,7176214
283,Hitchhikers,1998,0162019
284,Milk & Honey,2001,8546902
285,Chozeh Ahavah,1986,0133866
286,Chaver VeAch 2,1999,8314460
287,Big Shots,1982,0084342
288,Golem,2014,3812648
289,Across the Wall,,5447956
290,She Is Coming Home,2013,2965510
291,Naomi,2010,1666165
292,"Tick, Tick... Boom!",2008,7601668
293,Plasticine,2013,2980684
294,HaSipur Shelanu,2022,19363972
295,Tel Aviv Call Girls,1972,0068754
296,Bena,2009,1454447
297,999 Aliza: The Policeman,1967,0133330
298,Beach Boys,1992,0143761
299,Little Simico's Great Fantasy,2011,2072985
300,Women in the Other Room,1967,0062501
301,The Great Telephone Robbery,1972,0148846
302,Full Speed,2021,11647568
303,Dead End Street,1982,0125824
304,Bloodguilt,1997,0166238
305,Late Summer Blues,1987,0092678
306,Windows,2014,3742588
307,Love Sick,1995,0112665
308,I Like Mike,1961,0137009
309,Orange People,2013,2901396
310,The Sumo Wrestler,2012,2392770
311,Thin Ice,2012,7803976
312,A Bottle in the Gaza Sea,2010,2082496
313,"Je T'aime, I Love You Terminal",2010,1844692
314,Moris,2019,8269128
315,Tied Hands,2006,0833548
316,Watch Over Her,2014,7307210
317,Matinee,2011,1880216
318,Licking the Raspberry,1992,0151326
319,The Plumber,1986,0148333
320,Neve Shaanan,2021,12562576
321,Adam,1973,0133336
322,Love Letter to Cinema,2014,4331676
323,Afula Express,1997,0134028
324,Laugh Lines,2015,4067160
325,The Katzman Tapes,2012,3210300
326,Melach Yam,2010,1694536
327,The Boy Across the Street,1965,0138202
328,Mikmak - Untitled 2nd Feature Film,,3319148
329,Alice,2012,2219896
330,Yellow Asphalt,2000,0289074
331,Psi,(III,7475332
332,Wisdom of the Pretzel,2002,0342535
333,Children of the Fall,2016,4177080
334,Tetragrammaton,2017,7238436
335,Black Jack,2004,0430925
336,Photo Roman,1987,0093734
337,Story of Israel,1967,0165500
338,Day of Judgment,1974,0147738
339,Dual Entity,1992,0147267
340,The Other War,2008,1339670
341,Life Is Life,2003,0382072
342,Kvalim,1992,0104654
343,Women,1996,0117152
344,The Revenge of Itzik Finkelstein,1993,0107690
345,Lena,1980,0081042
346,The Flying Camel,1994,0109867
347,Cartas para Jenny,2007,1212072
348,Bittersweet,2007,1063685
349,There Was No War in 72,1995,0112428
350,Vulcan Junction,1999,0242073
351,Foul Gesture,2006,1090316
352,The Cellar,1963,0057123
353,On a Narrow Bridge,1985,0133793
354,Don Juan of Galilee,2017,6725826
355,On Air,1999,0206457
356,As Tears Go By,1996,0118220
357,Saving Neta,2016,5261088
358,A Movie and Breakfast,1977,0076685
359,Hapnimiyah,1983,0146847
360,Armand's Kites,2011,11112628
361,The Burglar,2016,5492734
362,Sharqiya,2012,2190397
363,The Unorthodox,2018,8657696
364,Electric Blanket,1994,0114477
365,Death of a Poetess,2017,7067390
366,Jerusalem Syndrome,2008,0929285
367,Floch,1972,0133772
368,Restless,2008,1075644
369,The Long Shadow,1992,0104754
370,Million Dollar Madness,1986,0091945
371,Lemarit Ain,2006,0759604
372,Moishe Air-Condition,1966,0060710
373,Forgiveness,2006,0486580
374,Like Me,2022,19188852
375,Mr Predictable,2016,5680160
376,Bye Bye Love,2008,1512890
377,Four Days Away from Two Light Years,2014,11111168
378,Snow of My Memory,,2651008
379,Syrian Bride,2004,0423310
380,Brennender Sand,1960,0053676
381,Over the Ocean,1991,0104834
382,More Than I Deserve,2021,7176058
383,Beyond the Mountains and Hills,2016,5695672
384,Victor Young Perez,2013,2658428
385,The Golden Pomegranate,2010,1719671
386,Mira Flores,,7450390
387,Tuvia Vesheva Benotav,1968,0063725
388,Miss Entebbe,2003,0359700
389,Sands of Beersheba,1964,0060935
390,Father's Footsteps,2007,0991272
391,By Summer's End,2011,2075088
392,Personal Affairs,2016,5695668
393,Who's the Father?,1996,0317914
394,Halfon Hill Doesn't Answer,1976,0073052
395,Melting Away,2011,1820531
396,Fellow Travellers,1983,0144292
397,Alaska,2018,8040482
398,Boche BaGeshem,1996,8310632
399,Ha-Diber Ha-11,1975,0072879
400,A Thousand Little Kisses,1981,0133734
401,Things Behind the Sun,2006,0833545
402,Zion and His Brother,2009,1191140
403,Liczba doskonala,2022,16023794
404,Life According to Agfa,1992,0103945
405,Time Off,1990,0098993
406,Save the Lifeguard,1977,0121345
407,Thirst,2004,0398713
408,Distortion,2005,0454440
409,Baumschlager,2017,5520404
410,Red Fields,2019,10679766
411,The Galilee Eskimos,2006,0910890
412,That's the Way You Love,2019,9834798
413,Hasamba Ve-Shodedey Ha-Susim,1985,0832516
414,Yaldei Kenyon Hazahav,1995,0135711
415,Ha-Mangalistim,2003,0316218
416,Take Off,1970,0144968
417,Strangers in the Night,1993,0145588
418,The Pill,1972,0142312
419,Virgins,2018,7176472
420,The pain behind the eyes,2022,15361650
421,Forced Testimony,1984,0133729
422,El Dorado,1963,0057025
423,Cup Final,1991,0101959
424,Galis: Connect,2016,11802574
425,Noble Savage,2018,8665606
426,Driver,2017,6213004
427,Cheer Me Up,2016,4832000
428,Ovdim Al Ha'Olam,1983,0147138
429,Avanti popolo,1986,0090677
430,Montana,2017,5261190
431,One of Us,1989,0097265
432,Love & Dance,2006,0814197
433,Voice Over,2018,9747894
434,Mrs. Moskowitz and the Cats,2009,1486803
435,Time of Favor,2000,0268696
436,Invisible World,(II,6362144
437,Fever at Dawn,2015,3122014
438,Allan Quatermain and the Jewel of the East,,2292558
439,Mithatenet,2022,9733060
440,God's Neighbors,2012,2164756
441,Our Father,2016,4466358
442,All I Can Do,2022,21238042
443,The Red Hood Setup,2014,3426030
444,The Interrogation,2016,4359240
445,The Dress,1969,0066381
446,My Dearest Enemy,2019,8964196
447,Woman Alive,2021,15790446
448,The Dybbuk of the Holy Apple Field,1997,0143231
449,Rock the Casbah,2012,2164718
450,Shuroo,1990,0102919
451,The Ladies' Hairdresser,1984,0152286
452,No Blood,2018,7610418
453,Podarok Stalinu,2008,1305027
454,Esther,1986,0133742
455,Kafka for Kids,2022,18039418
456,Gloria Jesus,2014,1647360
457,The Amlash Enchanted Forest,1974,0143286
458,Maftir,2008,1337657
459,Making Of,2022,15675222
460,Take Mama,2011,2362082
461,Someone to Run With,2006,0834955
462,Yoter Ity Mi'Lev,2012,2318773
463,Coffee with Lemon,1994,0110226
464,Two,2021,13055958
465,La salamandra del deserto,1970,0067700
466,Bewitched,2018,9716728
467,Vice Versa,2015,14859454
468,On a Clear Day You Can See Damascus,1984,0133391
469,A New Spirit,2017,7398716
470,Kuni Leml in Cairo,1983,0151269
471,Almost Famous,2017,7059806
472,Henry's Dream,2004,0380414
473,A Crazy Dad,1981,0147495
474,Wedding Doll,2015,4794512
475,Love at Second Sight,1999,0162843
476,The Jolly Cobbler,1970,6123198
477,Mat Iisusa,1991,0097849
478,"Joshua, Joshua",1988,0126131
479,Saint Clara,1996,0115909
480,Muchrachim Lehiyot Same'ach,2005,0480690
481,Roof of the World,2014,7804140
482,The Man in the Wall,2015,4029356
483,Koko Is 19,1985,0151238
484,Light Out of Nowhere,1973,0070319
485,Pere,2000,0213996
486,Fish also drown,2020,13440266
487,The Italians Are Coming,1996,0116663
488,The Quarry,1990,0100093
489,The Loners,2009,1455618
490,Dissolution,2010,1668199
491,Seven Days,2013,3145552
492,A Place in Heaven,2013,2960994
493,The Spy Who Never Was,1976,0070812
