,Title,Year,Genre,Synopsis,IMDb id
51,Holy Air,2017,"Drama, History, War",The film tells the story of the year before the Battle of the Kfar Etzion in 1948 and the story of the battle and the slaughter of the Jews was carried out by the Jordanian Legion and Arab rioters.,6590488
52,There Were Nights,2010,"Crime, Thriller","A psychological thriller set in Tel Aviv following an analytic female detective 's investigation into the disappearance of a teenage girl, as her chess-like maneuvers jeopardize the young brother's life, and her own mental state.",1483826
53,Another Shadow,1976,Drama,A family escapes from Iraq and forced to leave behind a baby. Years later they come to the conclusion that she is dead. But what if not?,1874415
54,And Then Something Happened,2013,Drama,NA,3139692
55,Colombian Love,2004,Drama,NA,0358925
56,Bechirah,2021,Drama,NA,19047790
57,The Cowards,1980,NA,NA,0147142
58,Siege,1969,NA,NA,0141591
59,Home,(LX,"Crime, Drama",NA,18266584
60,What Could Possibly Go Wrong?,2015,Comedy,A few seconds are devoted to giving this candid-camera movie a bit of a framework: prankster Yuda Barkan volunteers to show bright-eyed visitor Caroline Langford the foibles of the Israeli public.,4968022
61,Obsession,2011,Drama,"A Jerusalem couple set off on a journey. Against a backdrop of beauty, belief and great violence, they begin a film of their lives.",1969118
62,Halakeh,2008,Drama,NA,1311654
63,Ukradennoe zhelanie,2012,NA,NA,2973052
64,Kobi V'Mali,1978,Comedy,NA,0151234
65,Erich the First,1995,Drama,NA,0145766
66,Radical,2013,NA,"Joshua Zamir lost his son Yaron, in the first Lebanon war in 1982. Since then he tries to help others to deal with their losses. Produced for the Israel Film Service and the Second channel for Radio and television in 1998.",3239954
67,Attraction,1988,Drama,NA,0143345
68,The Man Who Flew in to Grab,1982,"Family, Musical",NA,0151079
69,Compromise,1996,"Drama, Fantasy, Thriller","In a world suffered by the great war we all fear from, A soldier awakes wrapped in bandages and without any memory.",0164501
70,A Pound a Piece,1963,Drama,NA,0148659
71,Lili Marlene,,"Comedy, Drama",NA,15045030
72,The Electrifiers,2019,Drama,NA,11115532
73,Take Two,1972,"Crime, Drama",NA,0069340
74,Love Letters from the War,2014,NA,"Adam falls victim to a sting and loses all his money. Only after tracing the sources of the sting and discovering that the gang is planning a similar fate for his friends, he joins forces with Shahar and Pita and together they fight back.",4179400
75,A Great Light,,Drama,NA,6866920
76,Istahar,2017,"Comedy, History","When ancient Sodom is doomed to destruction due to its people's corrupt ways, Lot is the only righteous man destined to be spared.",6971276
77,Gabi Ben Yakar,1982,"Drama, History, Thriller","A genre-bending thriller with elements of spaghetti westerns, war movies, romantic comedies and silent movies set in British-ruled Palestine in 1946.",0133785
78,Tomorrow's Yesterday,1964,"Comedy, Drama",NA,0136811
79,Yonatan and Tali,1953,"Animation, Drama, Family",NA,5910264
80,Christmas in the Holy Land,1971,"Drama, Thriller","In 1965, three Mossad Agents cross into East Berlin to apprehend a notorious Nazi war criminal. Thirty years later, the secrets the Agents share come back to haunt them.",0245052
81,Stress,1998,"Drama, Horror, Mystery","An advice columnist in the midst of getting a divorce begins receiving threatening notes from an anonymous stalker. Meanwhile, members of her group therapy session are being murdered by an unknown assailant.",0214165
82,Murder C.O.D.,1973,"Drama, Sport","Sees the discriminative tendencies in sports against LGBTQ people, and how a sportsman learns to accept and love himself despite that.",0068686
83,Hayeh Ahaltah Otah,1980,"Comedy, Drama","Harry Rosenmerck, an Ashkenazi Jewish American cardiologist, left everything to become a pig farmer in the Holy Land.",0133844
84,BlockBuster,2010,"Horror, Sci-Fi, Thriller","When a couple of American young adults fly to Israel to visit the city of Jerusalem, a biblical nightmare falls upon them.",2795530
85,Greenfields,1989,"Action, Biography, Drama","As his country prepares for war, top Egyptian official Ashraf Marwan makes contact with Israel and wades into a shadowy game of high-stakes espionage.",0144591
86,Under Western Eyes,1996,"Drama, Romance",A German pastry maker travels to Jerusalem in search of the wife and son of his dead lover.,0116857
87,Tape,2016,Drama,NA,5641214
88,Beitar Provence,2002,Drama,NA,0340013
89,Burning Land,1984,"Drama, Romance",NA,0133338
90,Ze Lo Seret Studentim,1997,"Drama, Fantasy, Music",NA,0167507
91,The Auntie from Argentina,1984,Drama,NA,0143219
92,The Lullabay of US,,Drama,NA,19843912
93,Good Intentions,1998,"Drama, Thriller",NA,0178518
94,Death Has No Friends,1970,"Drama, War","Successful doctor Artur Planck, his wife Clara and their two daughters are seeking shelter from the Nazis storming Poland. A violent love triangle ensues between Arthur, Clara and Emelia, the woman they are taking shelter with.",0179756
95,Dod Pompa,2000,Comedy,Israeli gag comedy starring Boaz Davidson and featuring songs by Ariel Zilber.,1899163
96,E.M.E.T,2009,"Drama, Family, History","Two families come together during a beach vacation which soon turns to chaos after a disagreement in traditional values, family principles on upbringing and table manners.",1437813
97,Joker,1976,"Drama, War","On the backdrop of 2008-2009 Gaza War at Hanukkah, eight stories of love and compassion take place alongside the border.",0148360
98,Writer's Block,2008,NA,NA,6428544
99,Sabina,1966,"Action, Drama, Mystery",A woman is recruited by the Mossad to work undercover in Tehran.,0138071
100,On My Own,1988,"Action, Adventure, Comedy","Allan Quatermain once again teams up with Jesse Huston where the discovery of a mysterious old gold piece sends Quatermain looking for his long-lost brother, missing in the wilds of Africa after seeking a lost white race.",0146670
101,The Last Suspect,2005,"Biography, Drama, History","The story of Amos Oz's youth, set against the backdrop of the end of the British Mandate for Palestine and the early years of the State of Israel. The film details the young man's relationship with his mother and his beginnings as a writer, while looking at what happens when the stories we tell become the stories we live.",2495226
102,Unseen,2019,"Animation, Drama, Sci-Fi","An aging, out-of-work actress accepts one last job, though the consequences of her decision affect her in ways she didn't consider.",10230288
103,On the Edge: Gesta 2,2018,"Drama, Romance","After spending the last of WWII in a brutal Japanese POW camp leaving him with nightmares, Ivan returns home to Pennsylvania for his childhood friend, Maria. But he has rivals for her love.",8551348
104,The Insomniac City Cycles,2009,"Comedy, Drama","Danny is pregnant by Max but she doesn't get around to telling him at a party. Meanwhile, Max is busy trying out his girlfriend Avishag's sexual fantasies with her.",1466516
105,This Is Sodom,2010,"Drama, Romance","Tamar, a beautiful young woman, lives alone with her two daughters. She can't restrain her sexual appetite and gives herself to several men of the village.",1675197
106,Once Upon a Time in Palestine,,"Comedy, Drama, Romance",A New York Times travel writer comes to Tel Aviv after suffering a tragedy. The energy of the city and his relationship with a younger man brings him back to life.,6908042
107,Tell Me That You Love Me,1983,"Crime, Drama, Romance","A drama centered on the love affair between two men on opposite sides of the Mid-East conflict: Palestinian student Nimer and Roy, an Israeli lawyer.",0086422
108,Playoff,2011,"Drama, Thriller","In 1945, a group of Jewish holocaust survivors planned to poison the water system in Germany. The film tells the dangerous and bold secret-operation which was called - Plan A.",1632722
109,The Debt,2010,"Comedy, Drama, Romance",NA,1226753
110,Schizoid,1980,"Comedy, Drama",Benny Furman is a basketball headcoach who can't decide what he realy wants.,0081459
111,The Swimmer,2021,"Comedy, Music","In Tel Aviv, six friends who are appalled by the Israeli entry in the UniverSong competition record their own song on a mobile phone, then are shocked to learn their recording is selected as Israel's entry for next year's competition.",15041866
112,Holy Lands,2017,Drama,What can happen in a moment? A difficult decision can change your path in life. An innocent question can provide all the answers you need. A simple maneuver can open your eyes. Seven moments that will change their lives forever.,6383494
113,Jeruzalem,2015,Western,"A nun, the only survivor of an Indian massacre of a wagon train, is taken in by a cantankerous old gunfighter.",4552524
114,The Angel,2018,"Adventure, Crime, Drama",NA,5968274
115,The Cakemaker,2017,Drama,NA,4830786
116,A Day Full of Grace,,"Crime, Drama",NA,6333014
117,Too Late,2019,"Drama, Comedy","A popular wise man/folk healer is anxious to marry off his daughter, but she refuses all his suggested suitors.",11229516
118,Scoring Mental,2013,NA,NA,2791412
119,Ubiystvo po neostorozhnosti,2013,Comedy,NA,3142900
120,Winter Games,1988,"Drama, Romance",NA,0151588
121,Spring 1941,2007,Comedy,NA,1252616
122,"It's a Funny, Funny World",1978,"Action, Drama",A couple becomes hostage when a frantic soldier takes over their house. This social drama depicts the state of the Israeli society following the devastating 1984 war.,0077757
123,Chaber,2021,"Animation, Biography, Drama","This animated children's film introduces kids to the life and times of Rashi, history's most studied Biblical commentator. Featuring the voices of Leonard Nimoy and Armand Assante.",19048276
124,Road 40 South,2014,"Action, Comedy, Drama",NA,3426156
125,Zog or Pered,1996,Drama,NA,0298614
126,Two Flags,2011,Comedy,Four weeks of basic training for girls in the IDF: seven girls and two sergeants from different backgrounds.,1863378
127,Operation Thunderbolt,1977,"Drama, History",NA,0076398
128,The Operative,2019,"Action, Drama, Romance",A joint U.S.- Soviet strike force is assembled to wipe out a nuclear base in an outlaw nation that plans to take the world hostage.,8000718
129,Allan Quatermain and the Lost City of Gold,1986,"Comedy, Drama, Romance","Three friends live their lives in the 1950s, each searching for someone to love.",0092534
130,A Tale of Love and Darkness,2015,"Comedy, Drama, Music","A band comprised of members of the Egyptian police force head to Israel to play at the inaugural ceremony of an Arab arts center, only to find themselves lost in the wrong town.",1135989
131,The Congress,2013,"Drama, Romance","Tel Aviv, Summer 1989. Boaz, a beautiful and alluring linguistics student, receives anonymous, male-written, love letters that undermines his sexual identity and interfere with his peaceful life with his beloved girlfriend.",1821641
132,Maria's Lovers,1984,"Drama, Music","An Israeli filmmaker throws himself in the midst of two battles doomed to fail: one against the death of freedom, the other against the death of a mother.",0087682
133,All Eyes Off Me,2021,"Comedy, Drama","As Eyal finishes the traditional Jewish week of mourning for his late son, his wife Vicky urges him to return to their routine -- but just because the shiva has ended doesn't mean it's life as usual.",14043818
134,The Slut,2011,"Drama, Romance, War","A Protestant World War II pilot and a Jewish girl fall in love in Jerusalem, even though their diverse backgrounds threaten to pull them apart.",1546421
135,Sublet,2020,"Drama, Thriller","Norman Oppenheimer is a small time operator who befriends a young politician at a low point in his life. Three years later, when the politician becomes an influential world leader, Norman's life dramatically changes for better and worse.",9733388
136,Out in the Dark,2012,Thriller,"A young operative is sent on a mission to follow an older agent, whose behavior has come into question.",2318625
137,Plan A,2021,Drama,"Yoav's demons start haunting him after his best friend becomes pregnant without telling him, and after his boyfriend of 15 years starts talking about children too. His life unravels, and self-destruction seems inevitable.",5448338
138,June Zero,2022,"Adventure, Drama",NA,18834372
139,Big Eyes,1974,Drama,NA,0121237
140,Cupcakes,2013,Drama,"Without a chance at the tightest neighborhood of Israel Farag brothers became the legendary builders ,the kings of town real Astate .",1935742
141,The Male Gaze: Fleeting Glances,2022,Horror,NA,20848778
142,Madron,1970,"Comedy, Drama",NA,0066034
143,Love Trilogy: Stripped,2018,"Drama, Thriller",NA,5368322
144,Frank Sinatra Died,1998,NA,NA,0205072
145,Shalom Lach Sigal,1996,Drama,NA,5677378
146,Marriage Games,1973,Western,Tom's parents are killed by Mexican outlaws after their leader (Van Cleef) rapes his mother as he watched. He sets out to exact revenge and is ultimately helped by a successful gold prospector who has been robbed by the same outlaws.,0133829
147,Drizzle,1994,Drama,"Avraham is a small-time contractor who's trying to make it into the big-time, and therefor gambles on projects that exceed his capabilities. His family lives in the shadow of his career ambitions, until one of these projects finds him drowning in debts he cannot pay back. Under the threat of the father's financial difficulties they rediscover the strength of their family ties.::Cinema South Film Festival",0179159
148,Lonely Planet,2011,"Drama, History, Thriller",NA,1740807
149,Love Without Pity Is Cruel,1983,Drama,"King Saul of Israel is jealous of the fame and adoration of David, who long ago slew Goliath and brought victory to Saul's armies. Now Saul, egged on by his Edomite counselor Doeg, attempts to have David killed. Saul's son, and David's best friend, Jonathan, conspires to help David, who is reluctant to fight back against his own people the Israelites.::Jim Beaver <jumblejim@prodigy.net>",0133370
150,Mehakim Le Surkin,2012,Drama,"It is the height of summer and the reality show ""his heart's choice"" is just about to launch its third season. Zacky Reibenbach, the show's creator, knows that without a really good gimmick, there is no way he will repeat the success of the previous two seasons. Until he recalls his film student Yehuda Konitz. Yehuda has been documenting the rehabilitation of his friend Eitan for the past three years after the latter went blind under strange circumstances during his military service. His unique rehabilitation process was developed by Yael, Eitan's personal trainer and Yehuda's girlfriend. Yael is Eitan's eyes, and with her he is a true phenomenon, and this is exactly what Reibenbach is looking for. Yehuda doesn't have much faith in TV. He wants to make ""a different film,"" a film from the point of view of someone who cannot see. But for this he needs $50,000, and what are the chances that someone will buy ""a different film"" from him? So when Reibenbach the ratings magician offers him to give him ""the phenomenon and the trainer"" in exchange for a generous investment and a few cosmetic changes in the idea, Yehuda doesn't bat an eyelash, and heads out on a delirious journey behind the scenes of the television world, gets addicted to Reibenbach's reality games and finds himself on the way into a dead end.::Jerusalem Film Festival",2729778
151,Flash,1987,Drama,NA,0133770
152,Rashi: A Light After the Dark Ages,1999,"Drama, Romance","A romantic triangle between three outsiders in Tel Aviv. With Dina Limon, Iyar Wolpe, Avigdor Weil. 'After working for several grueling years as a night guard in a high-rise in Tel Aviv, Avi Kurtzweil found work at a camera store belonging to a friend of his.' In the camera store Avi meets Dita, and they become friends. Dita introduces Avi to her mother Zelda, Which furthermore complicates things.::Anonymous",0223992
153,Tel Aviv-Los Angeles,1988,Drama,NA,0145518
154,Where Eagles Fly,1990,"Comedy, Romance",NA,0100922
155,Girls,1985,Drama,NA,0133399
156,Black Light,2009,"Drama, Romance","For Rami, all is for the best in this best of all possible worlds, as long as he keeps to himself. But when his longtime lover leaves him to marry a woman and his best friends drift away, he comes face to face with the harsh realities of life as a gay man in Egypt. Against the backdrop of the choreographed crackdown on gay men and the notorious Queen Boat arrests of 2001, he plunges into a world of loveless friendships and spirals downwards to his ultimate downfall.::Anonymous",1541638
157,Iron Eagle II,1988,Drama,"Written and directed by Amir Manor (Epilogue), the film follows Dina, a young Russian girl from south Israel, who cleans toilets in her town's central bus station. She falls in love with Yehuda, a Tel Avivian charmer, and moves with him to the big city. Little does she know that he is nothing but a pimp who recruits young girls for the sex industry.::Haim Mecklberg",0095382
158,Lemon Popsicle,1978,"Adventure, Drama, Thriller",Four young kids who clash with two army deserters in a fight over territory.,0079118
159,The Band's Visit,2007,Comedy,"A new immigrant, Tzelnik, arrives at the port of Jaffa. He goes to live in the Negev desert where he opens a kiosk in the middle of nowhere. Mizrachi comes along and opens a competing business across the way. The two make a living by selling to each other. As there is nothing there, they decide to create a world out of their imagination. They build a cardboard film set, which slowly takes on real dimensions- the buildings turn to concrete, people come to audition for parts in the ""film"" (cinema 'verite' style, with Zohar mocking viciously the pretensions of the ""actresses"") and builders come to void apartment buildings (mocking the glorification of concrete and ""heroic"" settlement). In one sequence, Arab actors come and ask the filmmakers turn positive to negative, and they're given the role of pioneers who plow the land and sing Zionist songs. The imagined world of the filmmakers becomes so real eventually they lose sight of the thin line between fantasy and reality.::AnonymousB",1032856
160,Snails in the Rain,2013,"Comedy, Drama, Romance","Tali and Ori are a young Israeli couple. After attending their best friends' wedding, which ended in disaster, they have a big fight, which leads to Ori proposing. But there is trouble in paradise when Ori's conservative father meets Tali, and all hell breaks loose... After Tali destroys Ori's highly religious sister's life's work and 'offends' him horribly, Mr. Cohen feels his honor has been abused and refuses contact with his son, unless Tali apologizes publicly. Zidane is a young bachelor with nothing to do and a strong affection for weed. After an encounter with a prostitute he's reunited with since knowing each other in junior high, Zidane has a near-death experience and tries to change his life. After a failed attempt to reignite an old affair in Colombia, and a relationship with a beautiful doctor, Zidane realizes who he really loves and what he'll do for her. Omer and Yael are a newly married couple who are way past the honeymoon phase. Omer, a bitter man only recently released from the army, becomes addicted to marijuana, while Yael waits for him to agree to have a baby. While he's planning to become a bachelor again, Yael meets an Arabic drug dealer and falls in love with him.::Dmigdal",2924590
161,Ahed's Knee,2021,Drama,"The 1960's, a Sephardic old neighborhood in Jerusalem. Micha, 6, timid and silent tells the story of his broken family. Sami, the father, a reckless ""easy go lucky"" womanizer spends his days in total idleness. Malka, his wife, carries all the family responsibilities on her own. She is aware of her husband's affairs but her love for him is deep and she represses the situation with total forgiveness. She will do anything to keep her family together. Malka turns to the aid of Rabbis, amulets and so called witches to bring Sami back to her but nothing helps, on the contrary. Sami leaves his family after his lover, Dina, bails him out of jail. When Malka and the children learn that Dina is pregnant they ban their father completely and end all contact with him until his death 36 years later.",12494638
162,One Week and a Day,2016,Drama,"This is the story of a journey made by a young religious family: Yael, Yoni, and their three-year-old son Yiftach. Yoni, once a barely observant Jew, is now devoted to the passionately Hassidic Breslov tradition. His wife Yael has remained in a more moderate, mainstream branch of Judaism. Yiftach's third birthday falls on the holiday of Lag Ba'omer, and Yoni wants to take Yiftach through a masculine rite of passage -the halakeh ceremony, where a boy's hair is cut for the first time, leaving only his ear-locks. The long journey to Mount Meron brings their conflict into sharp relief. Their encounters with various characters along the way further highlight the chasm which has developed between them.::Gil Mezuman",4777584
163,Every Time We Say Goodbye,1986,Drama,The story follows a truck which is brought into British occupied Palestine during the secret arrival of Jewish refugees and is later used during the war for Israel's independence and the combat against the Arabs.,0091019
164,Norman,2016,Drama,NA,4191702
165,Spider in the Web,2019,"Action, Adventure, Drama","David 'The King of Israel' is called ""A man after God's own heart"".",7942736
166,15 Years,2019,Comedy,NA,9779804
167,"My Neighbor, Adolf",2022,Romance,NA,7175968
168,Einstein in the Holy Land,2015,Drama,"Amal, a strong Palestinian woman, has waited 12 years for her husband's release from Israeli prison. But now, that he's back, the joyous expectation is shaken, since Ibrahim carries with him an incomplete mourning that haunts the family.",9728064
169,Blood Brothers,(V,Drama,A young Israeli soldier suffers a personal crisis after being released from a psychiatric hospital and returns home to find that his wife has left him taking their son with her.,6794830
170,Everywhere But Here,2013,"Drama, Mystery, Thriller","Micky Avidan must help Amnon Pinto after he was arrested alongside many left wing protesters. She must obtain the legal aid of Carine Katz, who seems quite reluctant and suspicious.",2467634
171,Upon Her Lips: Pure Feels,2021,"Drama, Romance",NA,14406360
172,Black Jack,1968,Drama,"Faith only becomes an abomination when a man cannot think for himself. Yet, does a man who represents himself have a fool for a client?",0062736
173,The Glorious Silver Hanukah Menorah,1996,Drama,NA,0145795
174,Shabazi,1997,Drama,Itzhak is an Ethiopian-Jewish boy who dreams of becoming the future Spike Lee of Israel. Generational clashes though incite a surprising chain of events.,0143869
175,Vengeance,1977,Drama,NA,0076261
176,Madman,1978,"Action, Comedy, Crime",NA,0077886
177,Tubianski,2014,NA,NA,3995806
178,Primo and Sabbatai,2022,Drama,NA,12708228
179,Japan Japan,2007,Comedy,NA,1090327
180,Shabbat Hamalka,1965,Comedy,NA,0152383
181,Under the Same Sun,2013,Drama,"Matan is a young and idealistic teacher, but his students are not convinced. He wanted his lessons to be different, but he cannot seem to find the right path. Matan insists on preparing his students for life and to resolve an open chapter in his personal life.",2535162
182,Otzarot HaYam HaAdom,2001,"Comedy, Drama, Sci-Fi","The unexpected meeting of a New-York therapist, obsessed with order and conformity, with a young woman possessing supernatural powers.",15976766
183,Beautiful Troubles!,1976,"Drama, Romance",A young musician is secretly in love with the beautiful woman living across the street. He is unaware of the horrifying mental crisis she is going through. She is oblivious to the heavy price he had to pay when he gave up his dreams. The encounter between them will entwine their fates forever.,0074192
184,Delet Mul Delet,2008,Mystery,"In a bustling Tel Aviv, a man suffering from insomnia tries to remember if someone actually shot him in one the city's underground parking garages. He no longer knows what is real or a dream while the city increasingly reflects the human condition. A young woman wakes up in a hotel room in Shanghai from that dream by a mysterious phone call. A fragmented conversation with a stranger who seems to also be a lover, rolls into a dazed odyssey in what seems like another dream amidst nocturnal Shanghai.::Ran Slavin",7177344
185,Guavas,2015,Drama,"Modi Gazit is a average comedian whose agent tries to promote him. After he fails in a TV audition he and his girlfriend plan a scam which will make him appear live on TV. After he manages to do so, he gets to a crossroads: he must decide whether to wait for an opportunity to take over the US or to go back to his country and his lover.",12803934
186,The Emperor's New Clothes,1987,Drama,NA,0142260
187,Land of the Little People,2016,NA,"When Albert Einstein visited Palestine in 1932, over 85,000 Jews lived there, and judging from the newspaper headlines, nearly all of them came out to greet the most famous Jew of his generation. For the next 12 days, Einstein kept a personal travel diary cataloging his impressions of the emerging Israeli State; he wrote excitedly about a culture of labor, the future of Zionism and, quite amusingly, of the beautiful women he met in this fascinating new land.",3444008
188,Close to Home,2005,Comedy,NA,0478999
189,Metallic Blues,2004,Drama,"From legendary writer-director Yitzhak Yeshurun comes a drama about the true meaning of flag and family. The so-called Israeli war of attrition forced Shmuel Braverman to leave Israel and abandon his family. Secure with a new family and business in his new home, the United States, Shmuel returns to Israel to celebrate his son's completion of basic army training. But a tense trip with the whole family in a cramped supply van shakes up Shmuel's easy life and forces everyone to face hard truths in this award-winning drama.",0402374
190,Infiltration,2010,Western,"Following the robbery of a bank in the Wild West a gang gathers around Jack Murphy, their leader. Things go awry when Skinner, Reb, Mathias and the brothers, Bill and Gordon, realize Jack will divide the loot for his own good only. Furious with him, they decide to betray him and it is not long before they take action. They torture him and leave him for dead while his sister is raped and killed. But Jack survives and goes for revenge.::Guy Bellinger",1676681
191,Am Yisrael Hai,1981,Drama,"Chara loves her family, and yet she sometimes ponders a life without them. A hesitant friendship with a shy and defiant girl inexorably forces her to confront her existential angst and face a painful past that she's been trying to forget.",0087636
