,Title,Year,Genre,Synopsis,IMDb id
52,Dizengoff 99,1979,Drama,"While her mother is away from home, 12-year-old Adar's role-playing games with her stepfather move into dangerous territory. Seeking an escape, Adar finds Alan-an ethereal boy who joins her on a dark journey between reality and fantasy.",0079060
53,Sand Storm,2016,NA,NA,4365518
54,The Assassin Next Door,2009,"Crime, Drama",NA,1198153
55,Asia,2020,Comedy,A few seconds are devoted to giving this candid-camera movie a bit of a framework: prankster Yuda Barkan volunteers to show bright-eyed visitor Caroline Langford the foibles of the Israeli public.,10032266
56,The Last Patrol,2000,NA,"Adam falls victim to a sting and loses all his money. Only after tracing the sources of the sting and discovering that the gang is planning a similar fate for his friends, he joins forces with Shahar and Pita and together they fight back.",0214871
57,Tape,2016,Drama,NA,5641214
58,Beitar Provence,2002,Drama,"Story of a war-widow pressured by her friends to behave in the role of the heroic widow, and the journey she takes in a country of people under siege.",0340013
59,Hole in the Moon,1964,"Crime, Drama","When you wage war on your community, you wage war on your family.",0058206
60,Bechirah,2021,"Comedy, Drama",NA,19047790
61,Blush,2015,Drama,NA,5022872
62,Fateless,2005,"Crime, Drama",NA,0367082
63,Speedway Junky,1999,"Animation, Family, History","King Solomon, son of King David of Jerusalem, is in a journy to find his place as king while facing a demonic creature and queen Sheeba.",0155197
64,Mossad,2019,"Comedy, Romance","A couple want to find out the dirt about each other. She decided to do a project about her best friend, trying to find true love for him. Until his soul mate hits him in the middle of the street.",10370402
65,There Were Nights,2010,"Action, Drama",A young boy finds a stack of his sister's secret letters who's been missing since their mother's death. He sets off on the journey of a lifetime to reunite with her and he meets a man who calls himself the last true Communist.,1483826
66,The Bubble,2006,"Drama, History, War","In May 1948, shortly before the creation of the State of Israel, hundreds of immigrants from across Europe arrive in Palestine--only to risk arrest by British troops.",0476643
67,Gett,2014,Drama,"A contemporary variation in a classical music setting of the biblical story of Abraham, Sarah and Hagar.",3062880
68,Princess,2014,Comedy,"An army sergeant (Topol) narrates in flash-backs his love adventures with several women, including some women soldiers.",1603900
69,Promised Land,2004,"Drama, Thriller","An impossible love story between Yossi, a former IDF soldier, and Dora, a mysterious French photographer visiting Israel, as they both struggle in vain to leave their pasts behind",0424365
70,Stress,1998,"Drama, History",A love story based on actual events set during the turbulent period of pre-state Israel 1947-48.,0214165
71,Murder C.O.D.,1973,Drama,"Secrets, lies, surprises and more are explored in this rich selection of gay short films from Israel.",0068686
72,Hayeh Ahaltah Otah,1980,Drama,A young Israeli woman from a wealthy family volunteers at a soup kitchen in Tel Aviv.,0133844
73,BlockBuster,2010,"Action, Drama, Thriller","While vacationing in Lebanon, a former secret agent finds he has been marked for assassination.",2795530
74,On the Edge: Gesta 2,2018,Drama,Iconic performer Marlene Dietrich and a young female journalist who survived the Holocaust reconcile with their pasts while falling in love in 1960 Israel.,8551348
75,The Insomniac City Cycles,2009,Drama,"The 1960's, a Sephardic old neighborhood in Jerusalem. Micha, 6, timid and silent tells the story of his broken family. Sami, the father, a reckless ""easy go lucky"" womanizer spends his days in total idleness. Malka, his wife, carries all the family responsibilities on her own. She is aware of her husband's affairs but her love for him is deep and she represses the situation with total forgiveness. She will do anything to keep her family together. Malka turns to the aid of Rabbis, amulets and so called witches to bring Sami back to her but nothing helps, on the contrary. Sami leaves his family after his lover, Dina, bails him out of jail. When Malka and the children learn that Dina is pregnant they ban their father completely and end all contact with him until his death 36 years later.",1466516
76,The Cowards,1980,"Action, Comedy, Drama","The winner of the 1995 Jerusalem Film Festival, this political thriller centers on a young hero who returns to Israel from Berlin to ostensibly attend the funeral of his father, a convicted Russian spy. Instead he learns that the death was a ruse and that he is to be the bait in an elaborate scheme to catch his father, who has just escaped from prison. When the son learns the truth, he enters the desert to search for his father. He is assisted by a beautiful young actress. They are constantly followed by a pair of determined cops.::Anonymous",0147142
77,Siege,1969,Drama,NA,0141591
78,Home,(LX,Comedy,Four weeks of basic training for girls in the IDF: seven girls and two sergeants from different backgrounds.,18266584
79,What Could Possibly Go Wrong?,2015,"Animation, Drama, Family","The film follows the journey of Kitty, the imaginary friend to whom Anne Frank dedicated her diary. A fiery teenager, Kitty wakes up in the near future in Anne Frank's house in Amsterdam and embarks on a journey to find Anne, who she believes is still alive, in today's Europe. While the young girl is shocked by the modern world, she also comes across Anne's legacy.::Polly_Kat",4968022
80,Ukradennoe zhelanie,2012,"Drama, Thriller","In 1965, three Mossad Agents cross into East Berlin to apprehend a notorious Nazi war criminal. Thirty years later, the secrets the Agents share come back to haunt them.",2973052
81,Greenfields,1989,"Drama, Horror, Mystery","An advice columnist in the midst of getting a divorce begins receiving threatening notes from an anonymous stalker. Meanwhile, members of her group therapy session are being murdered by an unknown assailant.",0144591
82,Sabina,1966,"Drama, Sport","Sees the discriminative tendencies in sports against LGBTQ people, and how a sportsman learns to accept and love himself despite that.",0138071
83,On My Own,1988,"Comedy, Drama","Harry Rosenmerck, an Ashkenazi Jewish American cardiologist, left everything to become a pig farmer in the Holy Land.",0146670
84,The Last Suspect,2005,"Horror, Sci-Fi, Thriller","When a couple of American young adults fly to Israel to visit the city of Jerusalem, a biblical nightmare falls upon them.",2495226
85,The Legend of King Solomon,2017,"Action, Biography, Drama","As his country prepares for war, top Egyptian official Ashraf Marwan makes contact with Israel and wades into a shadowy game of high-stakes espionage.",3887158
86,Od Sipur Echad,2021,"Drama, Romance",A German pastry maker travels to Jerusalem in search of the wife and son of his dead lover.,15439424
87,Comrade,2006,"Action, Drama, Mystery",A woman is recruited by the Mossad to work undercover in Tehran.,0391788
88,Kedma,2002,"Action, Adventure, Comedy","Allan Quatermain once again teams up with Jesse Huston where the discovery of a mysterious old gold piece sends Quatermain looking for his long-lost brother, missing in the wilds of Africa after seeking a lost white race.",0304267
89,Noodle,2007,"Biography, Drama, History","The story of Amos Oz's youth, set against the backdrop of the end of the British Mandate for Palestine and the early years of the State of Israel. The film details the young man's relationship with his mother and his beginnings as a writer, while looking at what happens when the stories we tell become the stories we live.",0892332
90,Harmonia,2016,"Animation, Drama, Sci-Fi","An aging, out-of-work actress accepts one last job, though the consequences of her decision affect her in ways she didn't consider.",5143744
91,Ha-Tarnegol,1971,"Drama, Romance","After spending the last of WWII in a brutal Japanese POW camp leaving him with nightmares, Ivan returns home to Pennsylvania for his childhood friend, Maria. But he has rivals for her love.",0142898
92,Unseen,2019,"Comedy, Drama","Danny is pregnant by Max but she doesn't get around to telling him at a party. Meanwhile, Max is busy trying out his girlfriend Avishag's sexual fantasies with her.",10230288
93,Paradise Cruise,2013,"Drama, Romance","Tamar, a beautiful young woman, lives alone with her two daughters. She can't restrain her sexual appetite and gives herself to several men of the village.",2252614
94,An Israeli Love Story,2017,"Comedy, Drama, Romance",A New York Times travel writer comes to Tel Aviv after suffering a tragedy. The energy of the city and his relationship with a younger man brings him back to life.,6077176
95,The House on Fin Street,2021,"Crime, Drama, Romance","A drama centered on the love affair between two men on opposite sides of the Mid-East conflict: Palestinian student Nimer and Roy, an Israeli lawyer.",4365590
96,The Israeli Boys,2020,"Drama, Thriller","In 1945, a group of Jewish holocaust survivors planned to poison the water system in Germany. The film tells the dangerous and bold secret-operation which was called - Plan A.",11680668
97,Shake Your Cares Away,2021,Drama,"King Saul of Israel is jealous of the fame and adoration of David, who long ago slew Goliath and brought victory to Saul's armies. Now Saul, egged on by his Edomite counselor Doeg, attempts to have David killed. Saul's son, and David's best friend, Jonathan, conspires to help David, who is reluctant to fight back against his own people the Israelites.::Jim Beaver <jumblejim@prodigy.net>",5851558
98,The Sell-Out,1976,Horror,"A brother and sister who run away from home find sanctuary in a deserted nature reserve. When the sister falls into the trap of a psychopathic killer, the brother sets out on a race against time to find help. In a twist of fate the rescue of the sister becomes inadvertently intertwined with the lives of a group of young tennis players, a ranger and his dog, as well as a team of policemen.::Navot Paposhado",0075188
99,Holy Air,2017,"Drama, Romance","A romantic triangle between three outsiders in Tel Aviv. With Dina Limon, Iyar Wolpe, Avigdor Weil. 'After working for several grueling years as a night guard in a high-rise in Tel Aviv, Avi Kurtzweil found work at a camera store belonging to a friend of his.' In the camera store Avi meets Dita, and they become friends. Dita introduces Avi to her mother Zelda, Which furthermore complicates things.::Anonymous",6590488
100,All My Life,2008,Drama,NA,1334617
101,Lili Marlene,,"Comedy, Romance",NA,15045030
102,The Electrifiers,2019,Drama,NA,11115532
103,Indoors,2016,"Fantasy, Sci-Fi","Daniel Vilner, the popular fantasy fantasy author is having troubles completing the third part of his trilogy when suddenly he finds himself trapped inside the book while one of his characters, trades places with him and encounter Vilner's fan community in Israel.::Amit Ruderman",5991264
104,The Dead of Jaffa,2019,NA,NA,10660366
105,Am Yisrael Hai,1981,Comedy,NA,0087636
106,Where Eagles Fly,1990,Family,NA,0100922
107,Girls,1985,Drama,"This is the story of a journey made by a young religious family: Yael, Yoni, and their three-year-old son Yiftach. Yoni, once a barely observant Jew, is now devoted to the passionately Hassidic Breslov tradition. His wife Yael has remained in a more moderate, mainstream branch of Judaism. Yiftach's third birthday falls on the holiday of Lag Ba'omer, and Yoni wants to take Yiftach through a masculine rite of passage -the halakeh ceremony, where a boy's hair is cut for the first time, leaving only his ear-locks. The long journey to Mount Meron brings their conflict into sharp relief. Their encounters with various characters along the way further highlight the chasm which has developed between them.::Gil Mezuman",0133399
108,Black Light,2009,Drama,The story follows a truck which is brought into British occupied Palestine during the secret arrival of Jewish refugees and is later used during the war for Israel's independence and the combat against the Arabs.,1541638
109,The Debt,2010,Drama,NA,1226753
110,Schizoid,1980,"Action, Adventure, Drama","David 'The King of Israel' is called ""A man after God's own heart"".",0081459
111,The Swimmer,2021,Comedy,NA,15041866
112,Holy Lands,2017,Romance,NA,6383494
113,Jeruzalem,2015,Drama,"Amal, a strong Palestinian woman, has waited 12 years for her husband's release from Israeli prison. But now, that he's back, the joyous expectation is shaken, since Ibrahim carries with him an incomplete mourning that haunts the family.",4552524
114,The Angel,2018,Drama,A young Israeli soldier suffers a personal crisis after being released from a psychiatric hospital and returns home to find that his wife has left him taking their son with her.,5968274
115,The Cakemaker,2017,"Drama, Mystery, Thriller","Micky Avidan must help Amnon Pinto after he was arrested alongside many left wing protesters. She must obtain the legal aid of Carine Katz, who seems quite reluctant and suspicious.",4830786
116,The Operative,2019,"Drama, Romance",NA,8000718
117,Allan Quatermain and the Lost City of Gold,1986,Drama,"Faith only becomes an abomination when a man cannot think for himself. Yet, does a man who represents himself have a fool for a client?",0092534
118,A Tale of Love and Darkness,2015,Drama,NA,1135989
119,The Congress,2013,Drama,Itzhak is an Ethiopian-Jewish boy who dreams of becoming the future Spike Lee of Israel. Generational clashes though incite a surprising chain of events.,1821641
120,Maria's Lovers,1984,Drama,NA,0087682
121,All Eyes Off Me,2021,"Action, Comedy, Crime",NA,14043818
122,The Slut,2011,NA,NA,1546421
123,Sublet,2020,Drama,"This is the story of a small band of Jews who traveled on foot from Yemen to Israel in 1926. Naomi (Shoshana Damari) is a Jewish woman who was orphaned as a child and works as an entertainer in a coffeehouse. There is antisemitism in the town, and when a little Jewish boy's parents are murdered by marauding Arabs, the local people take the boy to live with Naomi. At this time, a group is forming to make the trek to Israel, and Naomi and the little boy join the group. Zadok (Shaike Ophir) is a Zionist emissary who has been sent to lead the group on the grueling journey.",9733388
124,Out in the Dark,2012,Drama,NA,2318625
125,Plan A,2021,"Drama, Romance",NA,5448338
126,June Zero,2022,"Drama, Fantasy, Music",NA,18834372
127,Japan Japan,2007,Drama,NA,1090327
128,Upon Her Lips: Pure Feels,2021,Drama,NA,14406360
129,Otzarot HaYam HaAdom,2001,Comedy,Israeli gag comedy starring Boaz Davidson and featuring songs by Ariel Zilber.,15976766
130,Beautiful Troubles!,1976,"Drama, Family, History","Two families come together during a beach vacation which soon turns to chaos after a disagreement in traditional values, family principles on upbringing and table manners.",0074192
131,Delet Mul Delet,2008,"Drama, War","On the backdrop of 2008-2009 Gaza War at Hanukkah, eight stories of love and compassion take place alongside the border.",7177344
132,Guavas,2015,NA,NA,12803934
133,Hol Ba'eynayim,1967,Mystery,"In a bustling Tel Aviv, a man suffering from insomnia tries to remember if someone actually shot him in one the city's underground parking garages. He no longer knows what is real or a dream while the city increasingly reflects the human condition. A young woman wakes up in a hotel room in Shanghai from that dream by a mysterious phone call. A fragmented conversation with a stranger who seems to also be a lover, rolls into a dazed odyssey in what seems like another dream amidst nocturnal Shanghai.::Ran Slavin",0174745
134,Al Hapanim,1989,Drama,"It is the height of summer and the reality show ""his heart's choice"" is just about to launch its third season. Zacky Reibenbach, the show's creator, knows that without a really good gimmick, there is no way he will repeat the success of the previous two seasons. Until he recalls his film student Yehuda Konitz. Yehuda has been documenting the rehabilitation of his friend Eitan for the past three years after the latter went blind under strange circumstances during his military service. His unique rehabilitation process was developed by Yael, Eitan's personal trainer and Yehuda's girlfriend. Yael is Eitan's eyes, and with her he is a true phenomenon, and this is exactly what Reibenbach is looking for. Yehuda doesn't have much faith in TV. He wants to make ""a different film,"" a film from the point of view of someone who cannot see. But for this he needs $50,000, and what are the chances that someone will buy ""a different film"" from him? So when Reibenbach the ratings magician offers him to give him ""the phenomenon and the trainer"" in exchange for a generous investment and a few cosmetic changes in the idea, Yehuda doesn't bat an eyelash, and heads out on a delirious journey behind the scenes of the television world, gets addicted to Reibenbach's reality games and finds himself on the way into a dead end.::Jerusalem Film Festival",0133346
135,The Treasure Across the River,2016,Drama,NA,6295364
136,Shivuy Mishkal,2005,"Adventure, Crime, Drama","A political attack in Israel urges a group of citizens to flee to Paphos. Not only do they become familiarised with a land resembling Tel Aviv, but explore a similar journey faced by Greek-Cypriots who had to deal with years of oppression and Muslim occupation. Do these two communities share the search for freedom, or ultimately a case of trauma-bonding?::Omer Lavi",0860535
137,Every Mile a Stone,1955,Drama,NA,0133744
138,Prisoners of Freedom,1968,"Crime, Drama",NA,0133382
139,Gods Heart,,"Drama, Comedy","A popular wise man/folk healer is anxious to marry off his daughter, but she refuses all his suggested suitors.",6249754
140,Dogs Are Color Blind,1996,NA,NA,0116786
141,Put K Slave,1997,"Comedy, Drama, Romance","In the easy-going, sexually-liberated 1970's Tel Aviv, three young friends, struggling filmmaker Nati, his impressionable girlfriend Ossi and his geeky friend Mushon, move in together in a small apartment in Dizengoff Street number 99. By day, they work a boring desk office job but by night the city is their playground. Their overall goal is to make their way into the commercial movie making business, but harsh realities and romances often sidetrack them. Their fourth friend and Nati's older other girlfriend is aspiring musician, Miri.::Yaron Agami",4505300
142,The Doubt,,"Comedy, Drama",Benny Furman is a basketball headcoach who can't decide what he realy wants.,15554956
143,Stigma,1982,"Comedy, Music","In Tel Aviv, six friends who are appalled by the Israeli entry in the UniverSong competition record their own song on a mobile phone, then are shocked to learn their recording is selected as Israel's entry for next year's competition.",0086365
144,Auxiliary Ego,2014,Drama,What can happen in a moment? A difficult decision can change your path in life. An innocent question can provide all the answers you need. A simple maneuver can open your eyes. Seven moments that will change their lives forever.,4158582
145,Nini,1962,Western,"A nun, the only survivor of an Indian massacre of a wagon train, is taken in by a cantankerous old gunfighter.",0151763
146,Emunah,2021,"Comedy, Drama, Romance","Tali and Ori are a young Israeli couple. After attending their best friends' wedding, which ended in disaster, they have a big fight, which leads to Ori proposing. But there is trouble in paradise when Ori's conservative father meets Tali, and all hell breaks loose... After Tali destroys Ori's highly religious sister's life's work and 'offends' him horribly, Mr. Cohen feels his honor has been abused and refuses contact with his son, unless Tali apologizes publicly. Zidane is a young bachelor with nothing to do and a strong affection for weed. After an encounter with a prostitute he's reunited with since knowing each other in junior high, Zidane has a near-death experience and tries to change his life. After a failed attempt to reignite an old affair in Colombia, and a relationship with a beautiful doctor, Zidane realizes who he really loves and what he'll do for her. Omer and Yael are a newly married couple who are way past the honeymoon phase. Omer, a bitter man only recently released from the army, becomes addicted to marijuana, while Yael waits for him to agree to have a baby. While he's planning to become a bachelor again, Yael meets an Arabic drug dealer and falls in love with him.::Dmigdal",19047998
147,The Father,1975,Comedy,"Mickey Shwartz (Assaf Ehrenreich), an ex-soccer player for ""Ha'poel Haifa"", who abandoned a promising career after injuring his meniscus ,he is working as a pen salesman for ""Katz & Sons""- a company which specializes in unique pens for collectors.This is not how Mickey imagined that his life would be like. He decides to make a change and does everything he can to get himself fired. After getting fired Mickey accidentally bumps into a childhood friend- Menashe Vexler (Sharon Maman), whom he hasn't seen since highschool. Menashe is a small time crook who does dubious business for living. His dream is to make enough money to make the first Israeli ""blockbuster"" film. Mickey decides to join Menashe and they both go out to pursue their dream. The point of view is of the hero, who suffers from ADHD.::Assaf Ehrenreich",0148324
148,Zrubavel,2008,"Drama, Romance",NA,1758849
149,Guttman X5,2015,"Drama, Thriller","""Promised Land"" tells the story of a group of young unwitting Estonian girls smuggled through Egypt to be auctioned off as prostitutes in Israel, and of their initiation into this trade of flesh, and finally of the accidental freeing of one girl who most fight for her freedom.::Batsheva",4634652
150,Town Down,2018,"Drama, War","Successful doctor Artur Planck, his wife Clara and their two daughters are seeking shelter from the Nazis storming Poland. A violent love triangle ensues between Arthur, Clara and Emelia, the woman they are taking shelter with.",15331496
151,La piccola bibbia,1995,Drama,"Gony's father lost his reputation, his pride and his desire to live after serving a short prison sentence twenty years ago. A little later he lost his wife, Gony's mother, to cancer. Since then, at age seven, Gony, an only child, has served as her father's emotional crutch, living through his terror and loss. Now, at twenty-five, Gony is about to make her first steps into the world. But before being allowed to begin her life, she must overcome the grip of her father's desperate loneliness and sense of loss.::Anonymous",0267826
152,AirTime,2012,Drama,"Without a chance at the tightest neighborhood of Israel Farag brothers became the legendary builders ,the kings of town real Astate .",2218814
153,A Day Full of Grace,,"Drama, Thriller",'The Stolen Wish' is a mesmerizing thriller based on real events - a horrific suicide bombing that took dozens of young lives and forced the author to look differently upon fate - it's the surreal nature of this feature length movie that best reflects reality.::Anonymous,6333014
154,Too Late,2019,NA,NA,11229516
155,Scoring Mental,2013,Drama,"From legendary writer-director Yitzhak Yeshurun comes a drama about the true meaning of flag and family. The so-called Israeli war of attrition forced Shmuel Braverman to leave Israel and abandon his family. Secure with a new family and business in his new home, the United States, Shmuel returns to Israel to celebrate his son's completion of basic army training. But a tense trip with the whole family in a cramped supply van shakes up Shmuel's easy life and forces everyone to face hard truths in this award-winning drama.",2791412
156,Ubiystvo po neostorozhnosti,2013,"Drama, Romance","For Rami, all is for the best in this best of all possible worlds, as long as he keeps to himself. But when his longtime lover leaves him to marry a woman and his best friends drift away, he comes face to face with the harsh realities of life as a gay man in Egypt. Against the backdrop of the choreographed crackdown on gay men and the notorious Queen Boat arrests of 2001, he plunges into a world of loveless friendships and spirals downwards to his ultimate downfall.::Anonymous",3142900
157,Winter Games,1988,Comedy,"Two losers men in their thirties are having the worst night in their life when they discover that they will soon be millionaires. The only thing that they haven't thought about is that the way to the million will lead them to a journey in which they will meet some of the worst surreal and crazy people, that will try to take their money in any cost.::seret.co.il",0151588
158,"It's a Funny, Funny World",1978,Drama,"Matan is a young and idealistic teacher, but his students are not convinced. He wanted his lessons to be different, but he cannot seem to find the right path. Matan insists on preparing his students for life and to resolve an open chapter in his personal life.",0077757
159,Chaber,2021,"Comedy, Drama, Sci-Fi","The unexpected meeting of a New-York therapist, obsessed with order and conformity, with a young woman possessing supernatural powers.",19048276
160,Road 40 South,2014,Drama,"Written and directed by Amir Manor (Epilogue), the film follows Dina, a young Russian girl from south Israel, who cleans toilets in her town's central bus station. She falls in love with Yehuda, a Tel Avivian charmer, and moves with him to the big city. Little does she know that he is nothing but a pimp who recruits young girls for the sex industry.::Haim Mecklberg",3426156
161,Zog or Pered,1996,"Adventure, Drama, Thriller",Four young kids who clash with two army deserters in a fight over territory.,0298614
162,Two Flags,2011,Drama,"Three children from the West Bank are smuggled into Israel, arriving at the doorstep of George and Rita's house in Jaffa. Their mother is dead, and their father has been sentenced for life. As Israeli Palestinians, George is afraid that hiding illegal aliens will endanger Rita and himself, while Rita believes the arrival of these children could give meaning to her life. Nearby, a foreign film is being shot. Jerry, an English director, is making a movie about his parents' love affair in 1947, when they served in the British army in Palestine. George is invited to play a part. When the two stories intertwine, tensions erupt.::Jerusalem Film Festival",1863378
163,Melech LeYom Ehad,1980,"Comedy, History","When ancient Sodom is doomed to destruction due to its people's corrupt ways, Lot is the only righteous man destined to be spared.",0084207
164,Shabbat Hamalka,1965,"Drama, History, Thriller","A genre-bending thriller with elements of spaghetti westerns, war movies, romantic comedies and silent movies set in British-ruled Palestine in 1946.",0152383
165,Under the Same Sun,2013,"Comedy, Drama",NA,2535162
166,Frank Sinatra Died,1998,"Comedy, Drama","At thirty-seven, Miri is a twice-widowed, El Al flight attendant. Her well-regulated existence is suddenly turned upside down by an abandoned Chinese boy whose migrant-worker mother has been summarily deported from Israel. The film is a touching comic-drama in which two human beings -- as different from each other as Tel Aviv is from Beijing -- accompany each other on a remarkable journey, one that takes them both back to a meaningful life.::Anonymous",0205072
167,Shalom Lach Sigal,1996,"Comedy, Drama","The Electrifiers won the 1984 Best New Artist Award for a smash hit which no one remembers, and have been stuck in traffic on the fast track to international stardom ever since. Thirty years later, the band members continue to drag themselves between gigs at nursing houses and cheap B&Bs while their lead singer still believes he is a 20-year-old rocker. But just as everyone is about to become completely fed up with him, a surprising opportunity presents itself, which could propel the Electrifiers straight to the top.::Haifa International Film Festival",5677378
168,Marriage Games,1973,Drama,"Avraham is a small-time contractor who's trying to make it into the big-time, and therefor gambles on projects that exceed his capabilities. His family lives in the shadow of his career ambitions, until one of these projects finds him drowning in debts he cannot pay back. Under the threat of the father's financial difficulties they rediscover the strength of their family ties.::Cinema South Film Festival",0133829
